modelo_id;topic_id;doc_id;eval_1;eval_2;eval_3;eval_4
lda;1;1;1;1;1;1
lda;1;2;1;1;1;1
lda;1;3;1;1;1;1
lda;1;4;1;1;1;1
lda;1;5;1;1;1;1
lda;2;1;1;1;1;1
lda;2;2;1;1;1;1
lda;2;3;1;1;1;1
lda;2;4;1;1;1;1
lda;2;5;1;1;1;1
lda;3;2;1;1;1;1
lda;3;3;1;1;1;1
lda;3;4;1;1;1;1
lda;3;5;1;1;1;1
lda;4;1;1;1;1;1
lda;4;2;1;1;1;1
lda;4;3;1;1;1;1
lda;4;4;1;1;1;1
lda;4;5;1;1;1;1
lda;5;1;1;1;1;1
lda;5;2;1;1;1;1
lda;5;3;1;1;1;1
lda;5;4;1;1;1;1
lda;5;5;1;1;1;1
lda;6;1;1;1;1;1
lda;6;2;1;1;1;1
lda;6;3;1;1;1;1
lda;6;4;1;1;1;1
lda;6;5;1;1;1;1
lda;7;1;1;1;1;1
lda;7;2;1;1;1;1
lda;7;3;1;1;1;1
lda;7;4;1;1;1;1
lda;7;5;1;1;1;1
lda;8;1;1;1;1;1
lda;8;2;1;1;1;1
lda;8;3;1;1;2;1
lda;8;4;1;1;1;1
lda;8;5;1;1;1;1
lda;9;1;2;2;2;2
lda;9;2;2;2;2;2
lda;9;3;2;2;2;2
lda;9;4;2;2;2;2
lda;9;5;2;1;2;1
lda;10;1;1;1;1;2
lda;10;2;2;1;2;1
lda;10;3;2;1;2;1
lda;10;4;2;1;2;1
lda;10;5;2;1;2;2
lda;11;1;1;1;1;1
lda;11;2;1;1;1;1
lda;11;3;1;1;1;1
lda;11;4;1;1;1;1
lda;11;5;1;1;1;1
lda;12;1;1;1;1;1
lda;12;2;2;1;1;1
lda;12;3;1;1;1;1
lda;12;4;1;1;1;1
lda;12;5;1;1;1;1
lda;13;1;1;1;1;1
lda;13;2;1;1;1;1
lda;13;3;1;1;1;1
lda;13;4;1;1;1;1
lda;13;5;1;1;2;1
lda;14;1;2;1;1;1
lda;14;2;2;1;1;1
lda;14;3;1;1;1;1
lda;14;4;1;1;1;1
lda;14;5;1;1;1;1
lda;15;1;1;1;1;1
lda;15;2;2;1;2;1
lda;15;3;2;2;2;2
lda;15;4;1;1;1;1
lda;15;5;1;1;1;1
lda;16;1;1;1;1;1
lda;16;2;1;1;1;1
lda;16;3;1;1;1;1
lda;16;4;1;1;1;1
lda;16;5;1;1;1;1
lda;17;1;2;1;1;1
lda;17;2;1;1;1;1
lda;17;3;1;1;1;1
lda;17;4;1;1;1;1
lda;17;5;1;1;1;1
lda;18;1;1;1;2;1
lda;18;2;1;1;2;1
lda;18;3;1;1;1;1
lda;18;4;1;1;1;1
lda;18;5;1;1;1;1
lda;19;1;2;2;2;2
lda;19;2;1;1;1;1
lda;19;3;1;1;1;1
lda;19;4;1;1;1;1
lda;19;5;1;1;1;1
lda;20;1;1;1;1;1
lda;20;2;1;1;1;1
lda;20;3;1;1;1;1
lda;20;4;1;1;1;1
lda;20;5;1;1;1;1
GSDM;1;1;1;1;2;1
GSDM;1;2;1;1;1;1
GSDM;1;3;1;1;1;1
GSDM;1;4;1;1;1;1
GSDM;1;5;1;1;1;1
GSDM;2;1;1;2;2;2
GSDM;2;2;2;2;2;2
GSDM;2;3;2;2;2;2
GSDM;2;4;2;2;2;2
GSDM;2;5;2;2;2;2
GSDM;3;1;1;1;1;1
GSDM;3;2;1;1;1;1
GSDM;3;3;1;1;1;1
GSDM;3;4;1;1;1;1
GSDM;3;5;1;1;1;1
GSDM;4;1;1;1;1;1
GSDM;4;2;1;1;1;1
GSDM;4;3;1;1;1;1
GSDM;4;4;1;1;1;1
GSDM;4;5;1;1;1;1
GSDM;5;1;1;1;1;1
GSDM;5;2;1;1;1;1
GSDM;5;3;1;1;1;1
GSDM;5;4;1;1;1;1
GSDM;5;5;1;1;1;1
GSDM;6;1;2;1;2;1
GSDM;6;2;2;1;2;1
GSDM;6;3;1;1;1;1
GSDM;6;4;1;1;1;1
GSDM;6;5;2;2;2;2
GSDM;7;1;1;1;1;1
GSDM;7;2;1;1;1;1
GSDM;7;3;1;1;1;1
GSDM;7;4;1;1;2;1
